    148 | twitter  | earthquake | _niicolex              |   220 | rt @kaillowry: heard about the earthquake &amp; hope everyone is ok and safe in guatemala.                                                  
    149 | twitter  | earthquake | PostWorldNews          | 20259 | powerful earthquake topples homes and hillsides in guatemala, killing at least 48 people http://t.co/8ulboabx                               
    150 | twitter  | earthquake | MrStgo617              |    66 | there was an earthquake in guatemala. good luck to them people.                                                                             
    151 | twitter  | earthquake | LoveVelu               |    77 | rt @kaillowry: heard about the earthquake &amp; hope everyone is ok and safe in guatemala.                                                  
    152 | twitter  | earthquake | _suphawit              |    11 | rt @ctvnewsgord: map of location of 6.3mag #earthquake off of #vancouver island from 6:01 tonight http://t.co/nkbp7i66                      
    153 | twitter  | earthquake | WorldVisionUSA         | 41495 | sending out a prayer to those affected by the earthquake in guatemala. // article from @cnn: http://t.co/8i7ujtob                           
    154 | twitter  | earthquake | JayPunjabi2            |     2 | rt @yogurtbay: he moves and tosses the officer to one side who falls down and it feels like its an earthquake                               
    155 | twitter  | earthquake | jekbradbury            |    11 | rt @breakingnews: guatemalan official reports 6 more found dead from earthquake; brings death toll to 45 - @ap                              
    156 | twitter  | earthquake | DavidRoberts77         |   478 | rt @bbcbreaking: update: #guatemala's president molina says at least 48 people killed by #earthquake http://t.co/bcznywzf                   
    157 | twitter  | earthquake | BadMoon2013            |  1143 | i watched as he opened the sixth seal. there was a great earthquake. the sun turned black like sackcloth made of goat hair,                 
    158 | twitter  | earthquake | wisemiceli             |   545 | rt @_mikeyfuckso: hurricane a week ago, earthquake 2 days ago, and a snow storm now? i think nj needs a break.                              
    159 | twitter  | earthquake | ako_menggay            |    41 | rt @quakestoday: 5.1 magnitude earthquake. south indian ocean. details @ http://t.co/bvtcfrms                                               
    160 | twitter  | earthquake | hollaatnikkieb         |   242 | wait people are really complaining that there's been a nor' eastern and and earthquake since obama was elected? i must have forgot he's god 
